Datetime,Tweet Id,Text,Username
2021-08-15 11:50:27+00:00,1426873920183881731,@JaneCaro @AlanKohler It was good to see the moment Prof Sarah Gilbert walked to her seat at recent Wimbledon. The developer of the Oxford AstraZeneca vaccine got a standing ovation for quite sometime. Her key scientists were two women. So three women scientists were the developers.,KathyDu28302384
2021-08-15 07:12:06+00:00,1426803870160723975,@sallyrugg @PatsKarvelas To @sallyrugg the Oxford-AstraZeneca COVID-19 Vaccine has caused 7 deaths and over 100 hospitalisations in Australia so far in just 24 weeks from TTS which were all preventable as globally there have been no TTS blood clots caused by the @pfizer @BioNTech_Group COVID-19 Vaccine https://t.co/VQkahWLKeO,adamslawes
2021-08-14 02:32:00+00:00,1426370993237360644,Onya Mattel. Just created a Barbie doll of scientist who created Oxford coronavirus vaccine. https://t.co/2AncMl20A4,michaelgrose
2021-08-13 23:59:40+00:00,1426332656761860098,"@archiebombora09 To @archiebombora09 and the cheap, inferior, hospitalising and deadly Oxford-AstraZeneca COVID-19 Vaccine is being investigated for false data that USA has already stated and for bribery to promote propaganda about AZ whilst bribing people to state false information about @pfizer https://t.co/kaCM9XK4lC",adamslawes
2021-08-13 23:58:24+00:00,1426332339416621059,@archiebombora09 To @archiebombora09 the Oxford-AstraZeneca COVID-19 Vaccine has caused 7 deaths and over 100 hospitalisations in Australia so far in just 24 weeks from TTS which were preventable as globally there have been no TTS blood clots caused by the @pfizer @BioNTech_Group COVID-19 Vaccine https://t.co/VQkahWLKeO,adamslawes
2021-08-12 19:58:43+00:00,1425909634527752193,@jennmckay007 Oxford AstraZenica all done. No side effects. Was a bit worried about that as I understand that some of the minor side effects can show that your body is doing it’s thing with the vaccine as it should be.,Jenntrix
2021-08-12 08:41:34+00:00,1425739224683143173,@Peter_Fitz So @Peter_Fitz it pays to invest in health instead of buying Oxford AZ because it's the cheapest and out of British Monarchy patriotism so Oxford AZ is being phased out for being too deadly and the safe mRNA @pfizer COVID-19 Vaccines are now replacing it so long live @AusRepublic https://t.co/Yu9sf3AxIV,adamslawes
2021-08-12 08:15:16+00:00,1425732604519583749,@Peter_Fitz @Peter_Fitz Prof Pollard stating that as AZ COVID-19 Vaccine is failing (even Oxford is telling people to get @pfizer as 2nd dose) and here AZ has caused 7 deaths and 100 hospitalisations from TTS in 24 weeks which were preventable as there is no TTS from @pfizer COVID-19 Vaccine https://t.co/kaCM9XK4lC,adamslawes
2021-08-12 07:52:06+00:00,1425726775842070530,@guardiannews To @guardiannews the Oxford-AstraZeneca COVID-19 Vaccine is being phased out as it has now caused 7 tragic deaths in Australia and over 100 hospitalisations from TTS in just 24 weeks which were preventable as globally there is no TTS from @pfizer @BioNTech_Group COVID-19 Vaccine,adamslawes
2021-08-12 04:13:08+00:00,1425671671940190208,"""Professor Andrew Pollard, who led the Oxford vaccine team, said it was clear that the Delta variant can still infect people who have been vaccinated, which made herd immunity impossible to reach, even with Britain’s high uptake.""
https://t.co/uhA5Bms84N",margmopp
2021-08-07 08:18:11+00:00,1423921401031888898,@MariamVeiszadeh @MariamVeiszadeh soon as Oxford-AstraZeneca COVID-19 Vaccine is phased out as it has already caused 7 deaths and 90 hospitalisations in Australia from TTS in 23 weeks which were preventable as globally there is no TTS from @pfizer COVID-19 Vaccine then we can mandate vaccinations https://t.co/VQkahWLKeO,adamslawes
2021-08-07 08:16:11+00:00,1423920894271840258,@MariamVeiszadeh @MariamVeiszadeh the Oxford-AstraZeneca COVID-19 Vaccine is being phased out as it's too deadly and more mRNA @pfizer COVID-19 Vaccines are being continually purchased and there is approved infrastructure to manufacture @Pfizer and other mRNA Vaccines here in Melbourne to mandate https://t.co/kaCM9XK4lC,adamslawes
2021-08-07 07:12:38+00:00,1423904903127134216,"@princess_ebby @johnb78 @chaser @NSWHealth Sounds like Dr Facebook Misinformation - The analysis by PHE suggests:
1) the Pfizer-BioNTech vaccine is 96% effective against hospitalisation after 2 doses
2) the Oxford-AstraZeneca vaccine is 92% effective against hospitalisation after 2 doses
Source: https://t.co/CuZYuCFCg7",alexanderswift
2021-08-06 00:27:28+00:00,1423440550959538176,"@LaTrioli To @LaTrioli please report that in 23 weeks the Oxford-AstraZeneca COVID-19 Vaccine has caused 7 tragic deaths in Australia and 90 hospitalisations up to age 87 years from its TTS, and all were preventable as globally there is no TTS from @pfizer @BioNTech_Group COVID-19 Vaccine. https://t.co/LYMA1viF30",adamslawes
2021-08-06 00:21:41+00:00,1423439094554628106,@LaTrioli @LaTrioli the Oxford-AstraZeneca COVID-19 Vaccine is being phased  out as it has now caused 7 tragic deaths in Australia and 90 hospitalisations from TTS in just 23 weeks and all were preventable as globally there is no TTS at all from the @pfizer @BioNTech_Group COVID-19 Vaccine https://t.co/VQkahWLKeO,adamslawes
2021-08-06 00:20:30+00:00,1423438798692577283,"@LaTrioli @LaTrioli the Oxford-AstraZeneca COVID-19 Vaccine is being phased out as it is too deadly and more mRNA @pfizer @BioNTech_Group COVID-19 Vaccines are being continually purchased, and there is approved infrastructure to manufacture @Pfizer and other mRNA Vaccines here in Melbourne https://t.co/kaCM9XK4lC",adamslawes
2021-08-05 11:03:11+00:00,1423238148553801732,"@ProfPCDoherty To @ProfPCDoherty as there is now going to be an increasingly necessary move to mandate COVID-19 Vaccines. But I can't properly push to necessarily mandate my 'mark of the beast', with deaths in Australia from Oxford-AstraZeneca COVID-19 Vaccine TTS and until it is discontinued",adamslawes
2021-08-05 11:02:14+00:00,1423237907599433732,@ProfPCDoherty To @ProfPCDoherty can you please help in the polite push to purchase more mRNA Pfizer vaccines and also already approved infrastructure to also manufacture mRNA Vaccines in Melbourne to be built (there was a 7th Australian Oxford-AstraZeneca COVID-19 Vaccine TTS death yesterday),adamslawes
2021-08-01 21:48:44+00:00,1421951055441514499,"Helpful listening to the interview on @RNBreakfast with @frankelly08 about the 99.9% chance that you will be absolutely fine in taking the Oxford @AstraZeneca vaccine. C'mon Sydney and Australia, let's get on the vaccine bus and get it done. #COVID19nsw",Sarkodee
2021-07-25 05:58:38+00:00,1419175240328912905,"@Bondiward @Therese_Rein It’s a convenient sounding conspiracy that doesn’t bear much weight when you look into it, especially as Oxford vaccine was equally regarded at time of purchase and we could produce infinite amounts locally. Also, Kev and Therese own CSL shares outside of Super too",missrobinson
2021-07-24 21:55:04+00:00,1419053545026777088,"'For that, I owe a heartfelt debt of thanks to the brilliant scientists up in Oxford who created the AstraZeneca vaccine with such astonishing speed. Perhaps, I may even owe them my life?' https://t.co/pSJN585oP0",ahleach
2021-07-24 08:00:35+00:00,1418843539753025542,"The Oxford/AstraZeneca, manufactured in Australia by CSL, many countries would bust their chops for

Today ATAGI finally urges adult Sydneysiders to 'strongly consider' the AZ vaccine amid NSW COVID outbreak

Better late than never 👀

https://t.co/2fvDUfW0HR via @ABCaustralia",steveknottamma
2021-07-23 11:54:47+00:00,1418540091568390147,The Oxford AstraZeneca vaccine is the most widely used. 176 countries. Followed by Pfizer  106 countries. The storage of AstraZeneca makes distribution easier. BBC report. @AlanKohler @MikeCarlton01 @Lisa_Wilkinson @KafkaVoltaire,KathyDu28302384
2021-07-21 23:46:04+00:00,1417994317252108291,"@Corleone_Roller I knew Jane chairs the Global Coalition for Epidemic Preparedness Innovations (CEPI) which part-funded the A-Z Oxford vaccine Trials (as did Gates F'Dation). Surely poss conflict of interest there for her, being as she is on Aust's National C-19 Co-ordntn Commissn since March 20?",margmopp
2021-07-19 13:18:04+00:00,1417111497461796864,"@vmanjunath @softsignalout Have they credited him on Everest 1953, Wayne Gretzky's success, Jenner Institute's (Oxford University) success in the invention of Covid vaccine?",vijayarumugam
2021-07-18 10:35:52+00:00,1416708290298273794,@LMckaskill @Peter_Fitz I really feel for the amazing Oxford University team that developed the AZ vaccine with so much misinformation flying around.,MimiBlueMtns
2021-07-14 11:11:18+00:00,1415267656643452928,"@J28Red @dimsie @JRRToken1 @Cruella1 @DPJHodges Public Health England has determined that two doses of either the Pfizer–BioNTech or the Oxford–AstraZeneca vaccines are 88% and 60% effective, respectively, at preventing symptomatic disease caused by this variant12.
https://t.co/lYwOzcj2oz",Pianokit
2021-07-09 23:07:34+00:00,1413635972995043329,Such humble brilliant women.   How lucky we are to have these beautiful people in our society.  Thank you ladies.  !!!!     How Oxford scientists made the AstraZeneca vaccine https://t.co/bSrK4W6IJP,KellyAlspals
2021-07-01 03:49:33+00:00,1410445444820336644,"Except Premier, your tweet yesterday says..

“Even the UK Government won’t allow their under 40s to get the AstraZeneca vaccine.”

That is false.

Even this article says..

“However, some under 40s will still be offered the Oxford-AstraZeneca vaccine” https://t.co/PmfE3L7PRQ",BenBMurph
2021-06-29 12:16:39+00:00,1409848285192351747,#NHSheros and #OxfordVaccine inventors given standing ovation 👏 👏 at #Wimbledon #COVID19nsw #COVID19Aus #sydneylockdown yet we’re doing what @ScottMorrisonMP ??? #ScottMorrisonLockdown https://t.co/Uo5RokSCOm,alexanderswift
2021-06-28 14:21:21+00:00,1409517279352561664,That’s the Oxford/AstraZeneca vaccine… https://t.co/OPF0Tlhs2Y,SyanDougherty
2021-06-20 03:25:51+00:00,1406453215483162624,"@TheBeaverton As someone who is scheduled to receive their second dose of Oxford/AstraZeneca next week, I must look down at you plebs who have settled for Pfizer or Moderna. My vaccine’s got a University’s name around it, what do you have?! 😅",j2simpso
2021-06-17 21:04:45+00:00,1405632529483194369,"@BetteMidler There was a study released yesterday from the UK that Pfizer &amp; Oxford Astra Zeneca Vaccines are both in the 90% efficacy against hospitalisation.

Still extremely effective.",GrantKTaylor
2021-06-05 22:30:14+00:00,1401305391036702725,"I rolled my sleeve up and got my first dose of the Oxford AstraZeneca COVID-19 vaccine. 

It's the right thing to do, to help protect our community.

Thank you to all those who have already had the jab. 1 in 3 Australians over 50 have now had their first COVID-19 vaccine dose. https://t.co/ts7vm6B4I6",stuartrobertmp
2021-06-02 07:48:50+00:00,1399996413912571907,UK set to buy new Oxford/AstraZeneca vaccine designed to protect against South African variant https://t.co/9AmUKDi9nq,Simmotravels
2021-06-01 10:35:34+00:00,1399675986610851841,"""The developers of the Oxford-AstraZeneca COVID-19 vaccine have previously undisclosed ties to the re-named British Eugenics Society as well as other Eugenics-linked institutions like the Wellcome Trust.""
https://t.co/1Q3ZkEZeQx",margmopp
2021-05-28 06:54:31+00:00,1398170806090231809,"@sallymcmanus Australia
DOSES ADMINISTERED: 3,690,622
PEOPLE FULLY VACCINATED: 419,237
EST. POPULATION: 25,499,881
VACCINES IN USE: Oxford/AstraZeneca, Pfizer/BioNTech",Mickholloways
2021-05-28 00:53:05+00:00,1398079847730073602,"@MikeCarlton01 @roobiefox Australia
DOSES ADMINISTERED: 3,690,622
PEOPLE FULLY VACCINATED: 419,237
EST. POPULATION: 25,499,881
VACCINES IN USE: Oxford/AstraZeneca, Pfizer/BioNTech",Mickholloways
2021-05-28 00:52:32+00:00,1398079708630118400,"@Mark_Butler_MP Australia
DOSES ADMINISTERED: 3,690,622
PEOPLE FULLY VACCINATED: 419,237
EST. POPULATION: 25,499,881
VACCINES IN USE: Oxford/AstraZeneca, Pfizer/BioNTech",Mickholloways
2021-05-28 00:50:03+00:00,1398079086686130178,"@Mark_Butler_MP Australia
DOSES ADMINISTERED: 3,690,622
PEOPLE FULLY VACCINATED: 419,237
EST. POPULATION: 25,499,881
VACCINES IN USE: Oxford/AstraZeneca, Pfizer/BioNTech",Mickholloways
2021-05-27 12:24:33+00:00,1397891473828319236,"@maddiet5 Australia
DOSES ADMINISTERED: 3,690,622
PEOPLE FULLY VACCINATED: 419,237
EST. POPULATION: 25,499,881
VACCINES IN USE: Oxford/AstraZeneca, Pfizer/BioNTech",Mickholloways
2021-05-27 12:23:21+00:00,1397891170068406274,"@leighsales Australia
DOSES ADMINISTERED: 3,690,622
PEOPLE FULLY VACCINATED: 419,237
EST. POPULATION: 25,499,881
VACCINES IN USE: Oxford/AstraZeneca, Pfizer/BioNTech",Mickholloways
2021-05-27 12:20:52+00:00,1397890544760623107,"@mjrowland68 @pauline_mh1 @GregHuntMP Australia
DOSES ADMINISTERED: 3,690,622
PEOPLE FULLY VACCINATED: 419,237
EST. POPULATION: 25,499,881
VACCINES IN USE: Oxford/AstraZeneca, Pfizer/BioNTech",Mickholloways
2021-05-27 11:38:24+00:00,1397879857527222279,Scientists in Germany claim to have cracked the cause of the rare blood clots linked to the Oxford/AstraZeneca and Johnson &amp; Johnson coronavirus vaccines and believe the jabs could be tweaked to stop the reaction happening altogether https://t.co/9u7i9vF7fD,XavierAmouroux
2021-05-27 02:35:04+00:00,1397743124844224512,"Australia
DOSES ADMINISTERED: 3,690,622
PEOPLE FULLY VACCINATED: 419,237
EST. POPULATION: 25,499,881
VACCINES IN USE: Oxford/AstraZeneca, Pfizer/BioNTech",Mickholloways
2021-05-26 19:44:54+00:00,1397639903362514950,@PlasFron @doctor_oxford @10DowningStreet Covid response led by government = failure. Vaccine roll out by NHS = success. Go and sit back down.,BattertonMaxine
2021-05-19 00:43:36+00:00,1394815971877998592,Clinic here can get me in for Covid vaccine today  Oxford Astrazeneca.... you beauty,ChelseaFCOwner
2021-05-04 20:30:03+00:00,1389678731413704705,"@giannmi @thereal_truther @greg_travis @contrarian4data @JoshFriedlander GBD certainly haven't covered themselves in credibility. Oxford profs to follow would be @trishgreenhalgh, who works in covid arena. @GYamey vaccines. MIT @yaneerbaryam knows a bit about lockdowns  pandemics.  Expand your knowledge base or look really misinformed.",MaureenStroud
2021-04-30 13:49:13+00:00,1388128308252921857,"@RaoDpk Oxford University. British pouring of millions into the research of vaccine. This led to the invention of the vaccine. Then, a world-class vaccination roll out.",vijayarumugam
2021-04-29 21:10:01+00:00,1387876850706178050,@SkyetheWriter Sorry to contradict myself. The Oxford vaccine has proven to be problematic. I will probably take the modern Pfizers vaccine when offered. My first choice would be Sputnik after which Moderna and Pfizer's look effective vaccines to me with no known bad side effects at present.,frankiespiritu
2021-04-17 22:16:58+00:00,1383545046276837379,@LRussellWolpe @leah_galvin A study by Oxford University. Isn't AZ their vaccine? I wanted to read it but there was no link.,tassiedevil
2021-04-15 22:53:48+00:00,1382829537709330433,Yes you are completely right @jehudson85 . How impressive is this - at least 97% of Oxford Covid vaccine research was publicly funded. THAT'S how you fund this work https://t.co/5ap5LenRlZ,rebeccahritchie
2021-04-09 06:11:55+00:00,1380403081054068737,"Australians are not getting the Oxford Astra Zeneca vaccine if they are under 50, although the risk of the rare blood clot is very low.",BeaumontBee
2021-04-07 08:06:48+00:00,1379707216819720194,"@dom_ma @BevanShields Not to mention Australia refusing to find further vaccine development at home. Can't help but think that ""Oxford"" bit won over Morrison and co.",zuoluogu
2021-04-03 03:57:42+00:00,1378194974097829889,"Short video explaining how the vaccine trial design determine %efficacy. #Moderna &amp; #pfizer trials were conducted in the # US whereas @JanssenUS trial conducted in #Brazil &amp; #SouthAfrica. Furthermore #AstraZeneca #Oxford vaccine trial was mostly in the UK
https://t.co/7nFVEFLj1v",RimaDarwiche1
2021-03-30 05:11:00+00:00,1376763872699318272,"The difficult vaccine road that OXFORD-ASTRAZENECA travelled and how the journey is reviewed.
@BBCNews

BBC News - AstraZeneca vaccine - was it really worth it?
https://t.co/vBBfVKXqK3",edotedge
2021-03-26 02:50:05+00:00,1375278854441377792,76% effective at preventing symptoms of #covid19 from updated #US data for #AstraZenaca #OxfordVaccine 🤗 https://t.co/7K8cGhcVFh,RimaDarwiche1
2021-03-25 06:38:57+00:00,1374974063534243841,"INDIA'S COVID-19 SURGE DEMANDS HOLDING ITS ASTRAZENECA 
FOR LOCAL USE.
@BBCNews
Made there and stays for home use.
Thats reasonable!

BBC News - Coronavirus: India temporarily halts Oxford-AstraZeneca vaccine exports
https://t.co/sqy2IAKZYH",edotedge
2021-03-22 01:39:09+00:00,1373811453577297925,"Excited for today as I prepare to get my first shot of the Oxford AstraZeneca vaccine. It’s been a while coming but today I celebrate to be part of a community effort in ending COVID. @ Melbourne, Victoria, Australia https://t.co/9B4QkmfawI",TheHealthyBear
2021-03-17 12:22:08+00:00,1372161325527228421,"There's no proof the Oxford vaccine causes blood clots.
 
It’s human nature to spot patterns in data. But we should be careful about finding causal links where none may exist.
 
#COVID19 

https://t.co/AAC65Y2XaS",_drei
2021-03-15 21:22:15+00:00,1371572477860532224,"'WHO' SAYS KEEP USING OXFORD ASTRAZENECA VACCINE.
IT'S FINE!..blood clots unrelated!
Millions already safely vaccinated.
No problem! 
Stops serious COVID-19 disease!
@BBCNews

BBC News - Covid-19: Continue using AstraZeneca vaccine, says WHO
https://t.co/oBe35YcBZo",edotedge
2021-03-15 18:28:25+00:00,1371528727947964418,"“Germany, France and Italy suspend the vaccine as a cautionary step, as regulators continued to investigate reports of blood clots in a small number of people who received Oxford/AstraZeneca shots.” @Forbes

But @WHO says countries should continue to administer the vaccine. https://t.co/ZXc35ip19t",kelvinfiji
2021-03-15 06:40:58+00:00,1371350693278183426,Oxford–AstraZeneca COVID-19 vaccine is 81% effective when two doses are given 12 weeks apart and the effectiveness goes down to 55% when the interval between two doses was less than 6 weeks. But vaccination should not discount the practice of prevention #Covid_19,drazizrahman
2021-03-14 22:06:14+00:00,1371221154904502273,"https://t.co/DmXaJPSn2T Binoy Kampmark : the Oxford-AstraZeneca COVID-19 vaccine is fast becoming a subject of notoriety. The one #ScottyFromCoverUps 
had?",randlight
2021-03-14 14:12:34+00:00,1371101953787260941,"@brettmontg @KarenMagraith following the arrival of 21,000 doses of the Oxford/Astra Zeneca vaccine in early-March, WA Health scaled up the vaccination rollout to phase 1B.
My Department got the nod last Sunday to begin.
I got my jab last Wednesday at the Convention Centre",petedavo_au
2021-03-12 23:29:51+00:00,1370517425679081475,"Oxford-AstraZeneca: EU says 'no indication' vaccine linked to clots https://t.co/1dQ8aITIW1
#AusPol #AusUnions #COVID19Vaccination",MarkRichards_LV
2021-03-12 04:50:41+00:00,1370235774369603584,"@naomirwolf @guardian BBC News - Oxford-AstraZeneca: EU says 'no indication' vaccine linked to clots
https://t.co/cseyWEO9qe",MaureenStroud
2021-03-10 01:57:04+00:00,1369467308377186305,"@BecWrong Just importantly Is what Vaccine is being Offered &amp; 2 Whom?
Pfizer was the Initial1 but seems to be more difficult 2 maintain in outer regions
Oxford/AstraZeneca is now being offered but there R problem O/S especially in Austria 
So the Have Nots don't get a Choice",RobertM94357343
2021-03-09 08:37:46+00:00,1369205761415421952,@abc730 What a decapitation effort by 730 to destroy Trust in the Oxford AstraZeneca vaccine.  How irresponsible!!!!!!,KellyAlspals
2021-03-04 12:20:01+00:00,1367449750098702337,"Now that the donated Oxford-AstraZeneca vaccines are in the Philippines, we can only hope that the government prioritises the medical frontliners and the older age groups, not the politicians and the military. https://t.co/gUNPDUNjhT",_drei
2021-03-01 21:00:58+00:00,1366493690605133829,"Pfizer-BioNTech’s vaccine is currently being used in 70 countries, making it the most widely adopted. It is followed by Oxford-AstraZeneca, which is used in 55 countries, then Moderna, currently administered in 28 countries. #COVID19 https://t.co/mv33OsZpsn https://t.co/N48go4t8Vg",_drei
2021-02-28 21:10:56+00:00,1366133811919036416,@Alicia_Smith19 Does the J&amp;J vaccine avoid the ethical issues around the Oxford vaccine with aborted fetal products? The Moderna vaccine seems to have threaded the needle well of efficacious and ethical as well as more easily distributed,GrayConnolly
2021-02-24 05:18:39+00:00,1364444608059478018,"We havent seen a dose error with vaccines since

um

an entire Oxford Astra Zeneca vaccine trial?

Drug vials &amp; checking systems must be improved - esp when on site divided dosing required in high turn over clinics.

Very glad all ok so far &amp; hope everyone getting good support.",drajm
2021-02-21 00:28:31+00:00,1363284429519560706,"Oxford/AZ, Pfizer and Novavax vaccines to be rolled out, starting tomorrow and over coming months in Oz. All effective vaccines - the end game is in sight!  AstraZeneca/Oxford vaccine more effective with longer dose gap: study | Article [AMP] | Reuters https://t.co/I5pZjX0e4i",ProfPaulYoung
2021-02-17 02:50:00+00:00,1361870483034046467,"@RonniSalt Hang out the flags. Too little. Too late. 
And AstraZeneca for the mug punter. Now lengthening in the betting following reports it's no good against at least one new mutation. 
No problem. Give shonky name-dropping ""Oxford Vaccine"" to the oldies. Share price is still holding up.",UrbanWronski
2021-02-16 21:50:15+00:00,1361795051957805058,Melbourne Archbishop Peter A. Comensoli has welcomed the fact that the Therapeutic Goods Administration has now approved both the Pfizer and the Oxford University-AstraZeneca coronavirus vaccines for use in Australia https://t.co/hw5Uk1lb28,jeremystuparich
2021-02-16 01:15:50+00:00,1361484397103378432,Coronavirus live news: UK to consider giving excess vaccine to other countries; WHO approves Oxford jab https://t.co/mbkwO3rIOu,macdonald_julie
2021-02-15 11:59:29+00:00,1361283988858408960,"@OnThe360 Probably not. We bought 20 million doses from Pfizer so just over 1/3 of what is required for the whole population. Still, enough for 10 million people. Rest presumably covered by the AstraZeneca/Oxford vaccine, which is a viral vector one, and made here by CSL.",PalliThordarson
2021-02-13 23:07:18+00:00,1360727276321574912,"Inside CSL, where Australia's Oxford-AstraZeneca vaccines are being made https://t.co/g9YGhoXTFs",KellyAlspals
2021-02-13 04:25:21+00:00,1360444929399394308,I still believe Nasty Pfizer are playing dirty as usual regarding the Oxford vaccine. They started by illegitimately announcing their own test results early. https://t.co/KgpHOHNbo8,weemac47
2021-02-12 05:05:47+00:00,1360092718249123841,@AlboMP Why Australia is lacking behind in manufacturing vaccines like Pfizer and Oxford,Monoar72670635
